cycle: 0; nbPreys: 990; minEnergyPreys: 0.0; maxSizePreys: 1.0; nbPredators: 100; minEnergyPredators: 0.006; maxSizePredators: 0.986
cycle: 1; nbPreys: 975; minEnergyPreys: 0.016999999254941944; maxSizePreys: 1.0; nbPredators: 121; minEnergyPredators: 0.0070000004470348355; maxSizePredators: 1.0
cycle: 2; nbPreys: 957; minEnergyPreys: 9.99998509883887E-4; maxSizePreys: 1.0; nbPredators: 129; minEnergyPredators: 0.01300000089406967; maxSizePredators: 1.0
cycle: 3; nbPreys: 935; minEnergyPreys: 0.013019605607963058; maxSizePreys: 1.0; nbPredators: 143; minEnergyPredators: 0.013000001341104503; maxSizePredators: 1.0
cycle: 4; nbPreys: 902; minEnergyPreys: 0.003941170510123715; maxSizePreys: 1.0; nbPredators: 163; minEnergyPredators: 0.009000001788139339; maxSizePredators: 1.0
cycle: 5; nbPreys: 881; minEnergyPreys: 1.9604117846933056E-5; maxSizePreys: 1.0; nbPredators: 172; minEnergyPredators: 0.0030000022351741734; maxSizePredators: 1.0
cycle: 6; nbPreys: 853; minEnergyPreys: 0.00498038768651432; maxSizePreys: 1.0; nbPredators: 188; minEnergyPredators: 0.016000002682209025; maxSizePredators: 1.0
cycle: 7; nbPreys: 836; minEnergyPreys: 0.007980385451340166; maxSizePreys: 1.0; nbPredators: 203; minEnergyPredators: 0.05000000312924385; maxSizePredators: 1.0
cycle: 8; nbPreys: 792; minEnergyPreys: 0.005980386196398291; maxSizePreys: 1.0; nbPredators: 228; minEnergyPredators: 0.03000000357627869; maxSizePredators: 1.0
cycle: 9; nbPreys: 741; minEnergyPreys: 0.004999994784593564; maxSizePreys: 1.0; nbPredators: 259; minEnergyPredators: 0.010000004023313525; maxSizePredators: 1.0
cycle: 10; nbPreys: 700; minEnergyPreys: 2.745008632247404E-4; maxSizePreys: 1.0; nbPredators: 265; minEnergyPredators: 0.03266667024294534; maxSizePredators: 1.0
cycle: 11; nbPreys: 667; minEnergyPreys: 9.999918043613887E-4; maxSizePreys: 1.0; nbPredators: 289; minEnergyPredators: 0.012666670689980175; maxSizePredators: 1.0
cycle: 12; nbPreys: 630; minEnergyPreys: 0.0036666651765505376; maxSizePreys: 1.0; nbPredators: 302; minEnergyPredators: 0.02100000536441804; maxSizePredators: 1.0
cycle: 13; nbPreys: 576; minEnergyPreys: 7.999983608722727E-4; maxSizePreys: 1.0; nbPredators: 330; minEnergyPredators: 0.0010000058114528754; maxSizePredators: 1.0
cycle: 14; nbPreys: 521; minEnergyPreys: 0.008019604862904983; maxSizePreys: 1.0; nbPredators: 358; minEnergyPredators: 0.003333338697751348; maxSizePredators: 1.0
cycle: 15; nbPreys: 500; minEnergyPreys: 7.842839231682608E-4; maxSizePreys: 1.0; nbPredators: 371; minEnergyPredators: 0.018666672776142756; maxSizePredators: 1.0
cycle: 16; nbPreys: 464; minEnergyPreys: 0.008980378745817696; maxSizePreys: 1.0; nbPredators: 407; minEnergyPredators: 0.024444450106885673; maxSizePredators: 1.0
cycle: 17; nbPreys: 419; minEnergyPreys: 0.004999988824129109; maxSizePreys: 1.0; nbPredators: 440; minEnergyPredators: 0.004444450553920509; maxSizePredators: 1.0
cycle: 18; nbPreys: 404; minEnergyPreys: 0.0017646984317722936; maxSizePreys: 1.0; nbPredators: 464; minEnergyPredators: 0.00666667396823567; maxSizePredators: 1.0
cycle: 19; nbPreys: 374; minEnergyPreys: 0.0026352790674745163; maxSizePreys: 1.0; nbPredators: 488; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 1.0
cycle: 20; nbPreys: 345; minEnergyPreys: 9.215581966380837E-4; maxSizePreys: 1.0; nbPredators: 506; minEnergyPredators: 6.2088171548513316E-9; maxSizePredators: 1.0
cycle: 21; nbPreys: 300; minEnergyPreys: 0.0019607694125642894; maxSizePreys: 1.0; nbPredators: 516; minEnergyPredators: 0.00233334003885588; maxSizePredators: 1.0
cycle: 22; nbPreys: 256; minEnergyPreys: 0.0019215492559412836; maxSizePreys: 1.0; nbPredators: 531; minEnergyPredators: 0.00666667396823567; maxSizePredators: 1.0
cycle: 23; nbPreys: 194; minEnergyPreys: 0.0018627294518198667; maxSizePreys: 1.0; nbPredators: 554; minEnergyPredators: 0.006000009387731542; maxSizePredators: 1.0
cycle: 24; nbPreys: 182; minEnergyPreys: 0.0027254738048009264; maxSizePreys: 1.0; nbPredators: 565; minEnergyPredators: 0.002333339964350062; maxSizePredators: 1.0
cycle: 25; nbPreys: 169; minEnergyPreys: 0.0019411608243689038; maxSizePreys: 1.0; nbPredators: 574; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 1.0
cycle: 26; nbPreys: 154; minEnergyPreys: 0.005627433098998713; maxSizePreys: 1.0; nbPredators: 600; minEnergyPredators: 0.006666673968235642; maxSizePredators: 1.0
cycle: 27; nbPreys: 146; minEnergyPreys: 0.0025293976086026015; maxSizePreys: 1.0; nbPredators: 627; minEnergyPredators: 0.0020000120699406043; maxSizePredators: 0.9800000004470348
